iter	Passed	Remaining
0	2	2818
1	4	2385
2	7	2612
3	10	2523
4	11	2376
5	13	2248
6	15	2171
7	16	2106
8	19	2103
9	20	2072
10	23	2116
11	25	2097
12	27	2061
13	28	2033
14	31	2043
15	32	2021
16	34	1991
17	36	1966
18	38	1995
19	40	2000
20	42	1984
21	44	1968
22	45	1949
23	47	1937
24	49	1933
25	51	1924
26	53	1932
27	55	1933
28	57	1922
29	59	1910
30	60	1902
31	62	1892
32	64	1887
33	66	1880
34	68	1895
35	71	1907
36	73	1907
37	75	1905
38	76	1896
39	78	1888
40	80	1880
41	82	1872
42	84	1884
43	86	1889
44	88	1882
45	90	1874
46	92	1869
47	94	1864
48	96	1864
49	97	1858
50	99	1854
51	101	1854
52	103	1847
53	105	1839
54	106	1831
55	108	1824
56	110	1820
57	111	1811
58	112	1801
59	114	1798
60	117	1803
61	118	1798
62	120	1790
63	121	1782
64	123	1775
65	124	1768
66	126	1761
67	128	1755
68	129	1749
69	131	1751
70	133	1747
71	135	1740
72	136	1734
73	138	1730
74	139	1726
75	141	1720
76	143	1715
77	144	1709
78	146	1706
79	149	1715
80	151	1714
81	152	1710
82	154	1704
83	155	1698
84	157	1692
85	158	1686
86	160	1681
87	161	1677
88	164	1680
89	166	1679
90	168	1678
91	169	1677
92	172	1680
93	174	1678
94	176	1677
95	194	1831
96	197	1838
97	199	1840
98	202	1840
99	204	1843
100	206	1842
101	209	1843
102	211	1844
103	215	1855
104	217	1855
105	219	1850
106	221	1846
107	223	1843
108	225	1845
109	229	1853
110	231	1851
111	233	1850
112	235	1851
113	238	1851
114	240	1852
115	243	1858
116	247	1870
117	276	2065
118	279	2071
119	282	2074
120	285	2073
121	301	2168
122	304	2169
123	310	2196
124	314	2202
125	317	2203
126	319	2196
127	321	2190
128	323	2186
129	325	2179
130	327	2171
131	329	2164
132	330	2157
133	332	2149
134	334	2142
135	336	2136
136	342	2159
137	346	2162
138	348	2158
139	350	2153
140	352	2146
141	354	2141
142	355	2133
143	357	2126
144	359	2118
145	360	2109
146	362	2102
147	363	2095
148	365	2087
149	366	2079
150	369	2076
151	371	2070
152	372	2063
153	374	2055
154	375	2049
155	377	2042
156	379	2036
157	380	2029
158	382	2022
159	384	2017
160	385	2010
161	387	2004
162	388	1997
163	391	1993
164	392	1988
165	395	1984
166	396	1978
167	398	1971
168	400	1968
169	402	1962
170	403	1956
171	405	1950
172	406	1944
173	408	1939
174	410	1933
175	411	1927
176	413	1921
177	415	1916
178	416	1911
179	418	1906
180	420	1900
181	421	1894
182	422	1888
183	424	1882
184	426	1877
185	427	1871
186	429	1866
187	431	1863
188	433	1859
189	434	1853
190	436	1848
191	437	1842
192	439	1837
193	440	1832
194	442	1826
195	443	1820
196	445	1816
197	447	1813
198	449	1809
199	451	1804
200	452	1799
201	454	1794
202	455	1789
203	457	1784
204	458	1779
205	460	1774
206	462	1772
207	464	1768
208	465	1763
209	467	1758
210	468	1753
211	470	1748
212	472	1744
213	473	1739
214	475	1734
215	476	1730
216	478	1726
217	480	1723
218	482	1719
219	483	1714
220	485	1709
221	486	1705
222	488	1700
223	489	1696
224	491	1691
225	492	1687
226	495	1686
227	496	1682
228	498	1677
229	499	1673
230	501	1669
231	502	1664
232	504	1661
233	506	1657
234	507	1653
235	510	1652
236	512	1649
237	514	1646
238	515	1642
239	517	1638
